jet_label,class_name,R16_Q1,RAND_d1,RAND_d1_name,RAND_d2,RAND_d2_name,RAND_d3,RAND_d3_name
0,label_X_bb,0,0,RAND1_res2p_00,2,RAND2_res2p_02,0,RAND3_res2p_00
1,label_X_cc,0,0,RAND1_res2p_00,0,RAND2_res2p_00,0,RAND3_res2p_00
2,label_X_ss,0,0,RAND1_res2p_00,0,RAND2_res2p_00,2,RAND3_res2p_02
3,label_X_qq,0,0,RAND1_res2p_00,1,RAND2_res2p_01,0,RAND3_res2p_00
4,label_X_bc,0,2,RAND1_res2p_02,0,RAND2_res2p_00,0,RAND3_res2p_00
5,label_X_cs,0,3,RAND1_res2p_03,3,RAND2_res2p_03,0,RAND3_res2p_00
6,label_X_bq,0,2,RAND1_res2p_02,0,RAND2_res2p_00,2,RAND3_res2p_02
7,label_X_cq,0,0,RAND1_res2p_00,0,RAND2_res2p_00,0,RAND3_res2p_00
8,label_X_sq,0,0,RAND1_res2p_00,0,RAND2_res2p_00,3,RAND3_res2p_03
9,label_X_gg,0,3,RAND1_res2p_03,3,RAND2_res2p_03,0,RAND3_res2p_00
10,label_X_ee,3,0,RAND1_res2p_00,0,RAND2_res2p_00,3,RAND3_res2p_03
11,label_X_mm,3,0,RAND1_res2p_00,2,RAND2_res2p_02,0,RAND3_res2p_00
12,label_X_tauhtaue,2,0,RAND1_res2p_00,0,RAND2_res2p_00,0,RAND3_res2p_00
13,label_X_tauhtaum,2,0,RAND1_res2p_00,0,RAND2_res2p_00,1,RAND3_res2p_01
14,label_X_tauhtauh,1,1,RAND1_res2p_01,0,RAND2_res2p_00,0,RAND3_res2p_00
15,label_X_YY_bbbb,9,8,RAND1_res34p_08,12,RAND2_res34p_12,12,RAND3_res34p_12
16,label_X_YY_bbcc,9,4,RAND1_res34p_04,13,RAND2_res34p_13,13,RAND3_res34p_13
17,label_X_YY_bbss,9,13,RAND1_res34p_13,7,RAND2_res34p_07,12,RAND3_res34p_12
18,label_X_YY_bbqq,9,4,RAND1_res34p_04,9,RAND2_res34p_09,7,RAND3_res34p_07
19,label_X_YY_bbgg,9,6,RAND1_res34p_06,14,RAND2_res34p_14,9,RAND3_res34p_09
20,label_X_YY_bbee,11,5,RAND1_res34p_05,13,RAND2_res34p_13,9,RAND3_res34p_09
21,label_X_YY_bbmm,11,10,RAND1_res34p_10,14,RAND2_res34p_14,4,RAND3_res34p_04
22,label_X_YY_bbtauhtaue,12,9,RAND1_res34p_09,4,RAND2_res34p_04,12,RAND3_res34p_12
23,label_X_YY_bbtauhtaum,12,4,RAND1_res34p_04,15,RAND2_res34p_15,4,RAND3_res34p_04
24,label_X_YY_bbtauhtauh,10,15,RAND1_res34p_15,11,RAND2_res34p_11,9,RAND3_res34p_09
25,label_X_YY_bbb,4,11,RAND1_res34p_11,4,RAND2_res34p_04,9,RAND3_res34p_09
26,label_X_YY_bbc,4,9,RAND1_res34p_09,9,RAND2_res34p_09,9,RAND3_res34p_09
27,label_X_YY_bbs,4,13,RAND1_res34p_13,9,RAND2_res34p_09,4,RAND3_res34p_04
28,label_X_YY_bbq,4,4,RAND1_res34p_04,15,RAND2_res34p_15,8,RAND3_res34p_08
29,label_X_YY_bbg,4,6,RAND1_res34p_06,9,RAND2_res34p_09,13,RAND3_res34p_13
30,label_X_YY_bbe,6,4,RAND1_res34p_04,6,RAND2_res34p_06,14,RAND3_res34p_14
31,label_X_YY_bbm,6,9,RAND1_res34p_09,4,RAND2_res34p_04,6,RAND3_res34p_06
32,label_X_YY_cccc,9,4,RAND1_res34p_04,8,RAND2_res34p_08,4,RAND3_res34p_04
33,label_X_YY_ccss,9,4,RAND1_res34p_04,7,RAND2_res34p_07,6,RAND3_res34p_06
34,label_X_YY_ccqq,9,7,RAND1_res34p_07,13,RAND2_res34p_13,5,RAND3_res34p_05
35,label_X_YY_ccgg,9,4,RAND1_res34p_04,7,RAND2_res34p_07,13,RAND3_res34p_13
36,label_X_YY_ccee,11,15,RAND1_res34p_15,9,RAND2_res34p_09,15,RAND3_res34p_15
37,label_X_YY_ccmm,11,9,RAND1_res34p_09,8,RAND2_res34p_08,13,RAND3_res34p_13
38,label_X_YY_cctauhtaue,12,12,RAND1_res34p_12,6,RAND2_res34p_06,13,RAND3_res34p_13
39,label_X_YY_cctauhtaum,12,9,RAND1_res34p_09,7,RAND2_res34p_07,9,RAND3_res34p_09
40,label_X_YY_cctauhtauh,10,9,RAND1_res34p_09,8,RAND2_res34p_08,13,RAND3_res34p_13
41,label_X_YY_ccb,4,10,RAND1_res34p_10,9,RAND2_res34p_09,11,RAND3_res34p_11
42,label_X_YY_ccc,4,7,RAND1_res34p_07,4,RAND2_res34p_04,4,RAND3_res34p_04
43,label_X_YY_ccs,4,9,RAND1_res34p_09,11,RAND2_res34p_11,9,RAND3_res34p_09
44,label_X_YY_ccq,4,11,RAND1_res34p_11,5,RAND2_res34p_05,14,RAND3_res34p_14
45,label_X_YY_ccg,4,5,RAND1_res34p_05,4,RAND2_res34p_04,8,RAND3_res34p_08
46,label_X_YY_cce,6,7,RAND1_res34p_07,7,RAND2_res34p_07,9,RAND3_res34p_09
47,label_X_YY_ccm,6,4,RAND1_res34p_04,12,RAND2_res34p_12,9,RAND3_res34p_09
48,label_X_YY_ssss,9,8,RAND1_res34p_08,14,RAND2_res34p_14,4,RAND3_res34p_04
49,label_X_YY_ssqq,9,10,RAND1_res34p_10,6,RAND2_res34p_06,9,RAND3_res34p_09
50,label_X_YY_ssgg,9,13,RAND1_res34p_13,9,RAND2_res34p_09,4,RAND3_res34p_04
51,label_X_YY_ssee,11,11,RAND1_res34p_11,8,RAND2_res34p_08,14,RAND3_res34p_14
52,label_X_YY_ssmm,11,4,RAND1_res34p_04,7,RAND2_res34p_07,4,RAND3_res34p_04
53,label_X_YY_sstauhtaue,12,7,RAND1_res34p_07,14,RAND2_res34p_14,15,RAND3_res34p_15
54,label_X_YY_sstauhtaum,12,11,RAND1_res34p_11,7,RAND2_res34p_07,7,RAND3_res34p_07
55,label_X_YY_sstauhtauh,10,14,RAND1_res34p_14,5,RAND2_res34p_05,4,RAND3_res34p_04
56,label_X_YY_ssb,4,9,RAND1_res34p_09,8,RAND2_res34p_08,10,RAND3_res34p_10
57,label_X_YY_ssc,4,4,RAND1_res34p_04,10,RAND2_res34p_10,14,RAND3_res34p_14
58,label_X_YY_sss,4,10,RAND1_res34p_10,4,RAND2_res34p_04,9,RAND3_res34p_09
59,label_X_YY_ssq,4,11,RAND1_res34p_11,4,RAND2_res34p_04,13,RAND3_res34p_13
60,label_X_YY_ssg,4,9,RAND1_res34p_09,14,RAND2_res34p_14,8,RAND3_res34p_08
61,label_X_YY_sse,6,14,RAND1_res34p_14,13,RAND2_res34p_13,9,RAND3_res34p_09
62,label_X_YY_ssm,6,9,RAND1_res34p_09,8,RAND2_res34p_08,9,RAND3_res34p_09
63,label_X_YY_qqqq,9,13,RAND1_res34p_13,6,RAND2_res34p_06,7,RAND3_res34p_07
64,label_X_YY_qqgg,9,13,RAND1_res34p_13,9,RAND2_res34p_09,9,RAND3_res34p_09
65,label_X_YY_qqee,11,13,RAND1_res34p_13,14,RAND2_res34p_14,8,RAND3_res34p_08
66,label_X_YY_qqmm,11,6,RAND1_res34p_06,9,RAND2_res34p_09,7,RAND3_res34p_07
67,label_X_YY_qqtauhtaue,12,6,RAND1_res34p_06,13,RAND2_res34p_13,4,RAND3_res34p_04
68,label_X_YY_qqtauhtaum,12,9,RAND1_res34p_09,12,RAND2_res34p_12,4,RAND3_res34p_04
69,label_X_YY_qqtauhtauh,10,14,RAND1_res34p_14,4,RAND2_res34p_04,13,RAND3_res34p_13
70,label_X_YY_qqb,4,14,RAND1_res34p_14,4,RAND2_res34p_04,14,RAND3_res34p_14
71,label_X_YY_qqc,4,8,RAND1_res34p_08,4,RAND2_res34p_04,13,RAND3_res34p_13
72,label_X_YY_qqs,4,13,RAND1_res34p_13,9,RAND2_res34p_09,8,RAND3_res34p_08
73,label_X_YY_qqq,4,6,RAND1_res34p_06,9,RAND2_res34p_09,4,RAND3_res34p_04
74,label_X_YY_qqg,4,9,RAND1_res34p_09,10,RAND2_res34p_10,4,RAND3_res34p_04
75,label_X_YY_qqe,6,12,RAND1_res34p_12,15,RAND2_res34p_15,6,RAND3_res34p_06
76,label_X_YY_qqm,6,7,RAND1_res34p_07,9,RAND2_res34p_09,4,RAND3_res34p_04
77,label_X_YY_gggg,9,9,RAND1_res34p_09,9,RAND2_res34p_09,12,RAND3_res34p_12
78,label_X_YY_ggee,11,7,RAND1_res34p_07,11,RAND2_res34p_11,9,RAND3_res34p_09
79,label_X_YY_ggmm,11,9,RAND1_res34p_09,9,RAND2_res34p_09,12,RAND3_res34p_12
80,label_X_YY_ggtauhtaue,12,9,RAND1_res34p_09,9,RAND2_res34p_09,4,RAND3_res34p_04
81,label_X_YY_ggtauhtaum,12,7,RAND1_res34p_07,4,RAND2_res34p_04,8,RAND3_res34p_08
82,label_X_YY_ggtauhtauh,10,8,RAND1_res34p_08,5,RAND2_res34p_05,9,RAND3_res34p_09
83,label_X_YY_ggb,4,9,RAND1_res34p_09,15,RAND2_res34p_15,8,RAND3_res34p_08
84,label_X_YY_ggc,4,9,RAND1_res34p_09,9,RAND2_res34p_09,8,RAND3_res34p_08
85,label_X_YY_ggs,4,9,RAND1_res34p_09,9,RAND2_res34p_09,12,RAND3_res34p_12
86,label_X_YY_ggq,4,14,RAND1_res34p_14,12,RAND2_res34p_12,6,RAND3_res34p_06
87,label_X_YY_ggg,4,8,RAND1_res34p_08,11,RAND2_res34p_11,5,RAND3_res34p_05
88,label_X_YY_gge,6,4,RAND1_res34p_04,12,RAND2_res34p_12,4,RAND3_res34p_04
89,label_X_YY_ggm,6,8,RAND1_res34p_08,7,RAND2_res34p_07,6,RAND3_res34p_06
90,label_X_YY_bee,7,12,RAND1_res34p_12,8,RAND2_res34p_08,7,RAND3_res34p_07
91,label_X_YY_cee,7,4,RAND1_res34p_04,10,RAND2_res34p_10,4,RAND3_res34p_04
92,label_X_YY_see,7,10,RAND1_res34p_10,13,RAND2_res34p_13,8,RAND3_res34p_08
93,label_X_YY_qee,7,6,RAND1_res34p_06,12,RAND2_res34p_12,9,RAND3_res34p_09
94,label_X_YY_gee,7,12,RAND1_res34p_12,4,RAND2_res34p_04,13,RAND3_res34p_13
95,label_X_YY_bmm,7,9,RAND1_res34p_09,4,RAND2_res34p_04,14,RAND3_res34p_14
96,label_X_YY_cmm,7,8,RAND1_res34p_08,4,RAND2_res34p_04,4,RAND3_res34p_04
97,label_X_YY_smm,7,14,RAND1_res34p_14,13,RAND2_res34p_13,6,RAND3_res34p_06
98,label_X_YY_qmm,7,13,RAND1_res34p_13,14,RAND2_res34p_14,12,RAND3_res34p_12
99,label_X_YY_gmm,7,4,RAND1_res34p_04,9,RAND2_res34p_09,7,RAND3_res34p_07
100,label_X_YY_btauhtaue,8,8,RAND1_res34p_08,6,RAND2_res34p_06,4,RAND3_res34p_04
101,label_X_YY_ctauhtaue,8,13,RAND1_res34p_13,10,RAND2_res34p_10,13,RAND3_res34p_13
102,label_X_YY_stauhtaue,8,14,RAND1_res34p_14,4,RAND2_res34p_04,4,RAND3_res34p_04
103,label_X_YY_qtauhtaue,8,4,RAND1_res34p_04,11,RAND2_res34p_11,15,RAND3_res34p_15
104,label_X_YY_gtauhtaue,8,4,RAND1_res34p_04,4,RAND2_res34p_04,6,RAND3_res34p_06
105,label_X_YY_btauhtaum,8,11,RAND1_res34p_11,7,RAND2_res34p_07,6,RAND3_res34p_06
106,label_X_YY_ctauhtaum,8,4,RAND1_res34p_04,9,RAND2_res34p_09,12,RAND3_res34p_12
107,label_X_YY_stauhtaum,8,14,RAND1_res34p_14,6,RAND2_res34p_06,5,RAND3_res34p_05
108,label_X_YY_qtauhtaum,8,7,RAND1_res34p_07,9,RAND2_res34p_09,11,RAND3_res34p_11
109,label_X_YY_gtauhtaum,8,6,RAND1_res34p_06,4,RAND2_res34p_04,9,RAND3_res34p_09
110,label_X_YY_btauhtauh,5,8,RAND1_res34p_08,14,RAND2_res34p_14,10,RAND3_res34p_10
111,label_X_YY_ctauhtauh,5,14,RAND1_res34p_14,13,RAND2_res34p_13,9,RAND3_res34p_09
112,label_X_YY_stauhtauh,5,12,RAND1_res34p_12,9,RAND2_res34p_09,4,RAND3_res34p_04
113,label_X_YY_qtauhtauh,5,4,RAND1_res34p_04,15,RAND2_res34p_15,5,RAND3_res34p_05
114,label_X_YY_gtauhtauh,5,5,RAND1_res34p_05,12,RAND2_res34p_12,12,RAND3_res34p_12
115,label_X_YY_qqqb,9,5,RAND1_res34p_05,13,RAND2_res34p_13,14,RAND3_res34p_14
116,label_X_YY_qqqc,9,4,RAND1_res34p_04,6,RAND2_res34p_06,8,RAND3_res34p_08
117,label_X_YY_qqqs,9,6,RAND1_res34p_06,8,RAND2_res34p_08,4,RAND3_res34p_04
118,label_X_YY_bbcq,9,4,RAND1_res34p_04,7,RAND2_res34p_07,9,RAND3_res34p_09
119,label_X_YY_ccbs,9,6,RAND1_res34p_06,4,RAND2_res34p_04,11,RAND3_res34p_11
120,label_X_YY_ccbq,9,12,RAND1_res34p_12,4,RAND2_res34p_04,9,RAND3_res34p_09
