jet_label,class_name,L188,L188_name,L162,L162_name,R63_Q1,R63_Q1_name,R42_Q1,R42_Q1_name,R29_Q1,R29_Q1_name,R16_Q1,R16_Q1_name,R3_VIS,R3_VIS_name,R1_Q1,R1_Q1_name
0,label_X_bb,0,label_X_bb,0,label_X_bb,0,2P_HAD_2PARTON|nb2_nc0,0,2P_HAD_2PARTON|B,0,2P_HAD_2PARTON|HF,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
1,label_X_cc,1,label_X_cc,1,label_X_cc,3,2P_HAD_2PARTON|nb0_nc2,1,2P_HAD_2PARTON|C,0,2P_HAD_2PARTON|HF,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
2,label_X_ss,2,label_X_ss,2,label_X_ss,5,2P_HAD_2PARTON|nb0_nc0,2,2P_HAD_2PARTON|LG,1,2P_HAD_2PARTON|LG,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
3,label_X_qq,3,label_X_qq,3,label_X_qq,5,2P_HAD_2PARTON|nb0_nc0,2,2P_HAD_2PARTON|LG,1,2P_HAD_2PARTON|LG,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
4,label_X_bc,4,label_X_bc,4,label_X_bc,1,2P_HAD_2PARTON|nb1_nc1,0,2P_HAD_2PARTON|B,0,2P_HAD_2PARTON|HF,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
5,label_X_cs,5,label_X_cs,5,label_X_cs,4,2P_HAD_2PARTON|nb0_nc1,1,2P_HAD_2PARTON|C,0,2P_HAD_2PARTON|HF,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
6,label_X_bq,6,label_X_bq,6,label_X_bq,2,2P_HAD_2PARTON|nb1_nc0,0,2P_HAD_2PARTON|B,0,2P_HAD_2PARTON|HF,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
7,label_X_cq,7,label_X_cq,7,label_X_cq,4,2P_HAD_2PARTON|nb0_nc1,1,2P_HAD_2PARTON|C,0,2P_HAD_2PARTON|HF,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
8,label_X_sq,8,label_X_sq,8,label_X_sq,5,2P_HAD_2PARTON|nb0_nc0,2,2P_HAD_2PARTON|LG,1,2P_HAD_2PARTON|LG,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
9,label_X_gg,9,label_X_gg,9,label_X_gg,5,2P_HAD_2PARTON|nb0_nc0,2,2P_HAD_2PARTON|LG,1,2P_HAD_2PARTON|LG,0,2P_HAD_2PARTON,0,2P_VIS,0,RESONANT_ALL
10,label_X_ee,10,label_X_ee,10,label_X_ee,8,2P_LEP_LL|nb0_nc0,5,2P_LEP_LL,4,2P_LEP_LL,3,2P_LEP_LL,0,2P_VIS,0,RESONANT_ALL
11,label_X_mm,11,label_X_mm,11,label_X_mm,8,2P_LEP_LL|nb0_nc0,5,2P_LEP_LL,4,2P_LEP_LL,3,2P_LEP_LL,0,2P_VIS,0,RESONANT_ALL
12,label_X_tauhtaue,12,label_X_tauhtaue,12,label_X_tauhtaue,7,2P_SEMILEP_TAUH_TAUL|nb0_nc0,4,2P_SEMILEP_TAUH_TAUL,3,2P_SEMILEP_TAUH_TAUL,2,2P_SEMILEP_TAUH_TAUL,0,2P_VIS,0,RESONANT_ALL
13,label_X_tauhtaum,13,label_X_tauhtaum,13,label_X_tauhtaum,7,2P_SEMILEP_TAUH_TAUL|nb0_nc0,4,2P_SEMILEP_TAUH_TAUL,3,2P_SEMILEP_TAUH_TAUL,2,2P_SEMILEP_TAUH_TAUL,0,2P_VIS,0,RESONANT_ALL
14,label_X_tauhtauh,14,label_X_tauhtauh,14,label_X_tauhtauh,6,2P_HAD_TAUH_TAUH|nb0_nc0,3,2P_HAD_TAUH_TAUH,2,2P_HAD_TAUH_TAUH,1,2P_HAD_TAUH_TAUH,0,2P_VIS,0,RESONANT_ALL
15,label_X_YY_bbbb,15,label_X_YY_bbbb,15,label_X_YY_bbbb,31,4P_HAD_4PARTON|nb4_nc0,21,4P_HAD_4PARTON|B,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
16,label_X_YY_bbcc,16,label_X_YY_bbcc,16,label_X_YY_bbcc,32,4P_HAD_4PARTON|nb2_nc2,21,4P_HAD_4PARTON|B,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
17,label_X_YY_bbss,17,label_X_YY_bbss,17,label_X_YY_bbss,33,4P_HAD_4PARTON|nb2_nc0,21,4P_HAD_4PARTON|B,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
18,label_X_YY_bbqq,18,label_X_YY_bbqq,18,label_X_YY_bbqq,33,4P_HAD_4PARTON|nb2_nc0,21,4P_HAD_4PARTON|B,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
19,label_X_YY_bbgg,19,label_X_YY_bbgg,19,label_X_YY_bbgg,33,4P_HAD_4PARTON|nb2_nc0,21,4P_HAD_4PARTON|B,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
20,label_X_YY_bbee,20,label_X_YY_bbee,20,label_X_YY_bbee,45,4P_SEMILEP_2PARTON_LL|nb2_nc0,27,4P_SEMILEP_2PARTON_LL|B,19,4P_SEMILEP_2PARTON_LL|HF,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
21,label_X_YY_bbmm,21,label_X_YY_bbmm,21,label_X_YY_bbmm,45,4P_SEMILEP_2PARTON_LL|nb2_nc0,27,4P_SEMILEP_2PARTON_LL|B,19,4P_SEMILEP_2PARTON_LL|HF,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
22,label_X_YY_bbtauhtaue,22,label_X_YY_bbtauhtaue,22,label_X_YY_bbtauhtaue,48,4P_SEMILEP_2PARTON_TAUH_TAUL|nb2_nc0,30,4P_SEMILEP_2PARTON_TAUH_TAUL|B,21,4P_SEMILEP_2PARTON_TAUH_TAUL|HF,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
23,label_X_YY_bbtauhtaum,23,label_X_YY_bbtauhtaum,23,label_X_YY_bbtauhtaum,48,4P_SEMILEP_2PARTON_TAUH_TAUL|nb2_nc0,30,4P_SEMILEP_2PARTON_TAUH_TAUL|B,21,4P_SEMILEP_2PARTON_TAUH_TAUL|HF,12,4P_SEMILEP_2PARTON_TAUH_TAUL,2,4P_VIS,0,RESONANT_ALL
24,label_X_YY_bbtauhtauh,24,label_X_YY_bbtauhtauh,24,label_X_YY_bbtauhtauh,42,4P_HAD_2PARTON_TAUH_TAUH|nb2_nc0,24,4P_HAD_2PARTON_TAUH_TAUH|B,17,4P_HAD_2PARTON_TAUH_TAUH|HF,10,4P_HAD_2PARTON_TAUH_TAUH,2,4P_VIS,0,RESONANT_ALL
25,label_X_YY_bbb,25,label_X_YY_bbb,25,label_X_YY_bbb,9,3P_HAD_3PARTON|nb3_nc0,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
26,label_X_YY_bbc,26,label_X_YY_bbc,26,label_X_YY_bbc,10,3P_HAD_3PARTON|nb2_nc1,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
27,label_X_YY_bbs,27,label_X_YY_bbs,27,label_X_YY_bbs,11,3P_HAD_3PARTON|nb2_nc0,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
28,label_X_YY_bbq,28,label_X_YY_bbq,28,label_X_YY_bbq,11,3P_HAD_3PARTON|nb2_nc0,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
29,label_X_YY_bbg,29,label_X_YY_bbg,29,label_X_YY_bbg,11,3P_HAD_3PARTON|nb2_nc0,6,3P_HAD_3PARTON|B,5,3P_HAD_3PARTON|HF,4,3P_HAD_3PARTON,1,3P_VIS,0,RESONANT_ALL
30,label_X_YY_bbe,30,label_X_YY_bbe,30,label_X_YY_bbe,22,3P_SEMILEP_2PARTON_L|nb2_nc0,12,3P_SEMILEP_2PARTON_L|B,9,3P_SEMILEP_2PARTON_L|HF,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
31,label_X_YY_bbm,31,label_X_YY_bbm,31,label_X_YY_bbm,22,3P_SEMILEP_2PARTON_L|nb2_nc0,12,3P_SEMILEP_2PARTON_L|B,9,3P_SEMILEP_2PARTON_L|HF,6,3P_SEMILEP_2PARTON_L,1,3P_VIS,0,RESONANT_ALL
32,label_X_YY_cccc,32,label_X_YY_cccc,32,label_X_YY_cccc,38,4P_HAD_4PARTON|nb0_nc4,22,4P_HAD_4PARTON|C,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
33,label_X_YY_ccss,33,label_X_YY_ccss,33,label_X_YY_ccss,39,4P_HAD_4PARTON|nb0_nc2,22,4P_HAD_4PARTON|C,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
34,label_X_YY_ccqq,34,label_X_YY_ccqq,34,label_X_YY_ccqq,39,4P_HAD_4PARTON|nb0_nc2,22,4P_HAD_4PARTON|C,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
35,label_X_YY_ccgg,35,label_X_YY_ccgg,35,label_X_YY_ccgg,39,4P_HAD_4PARTON|nb0_nc2,22,4P_HAD_4PARTON|C,15,4P_HAD_4PARTON|HF,9,4P_HAD_4PARTON,2,4P_VIS,0,RESONANT_ALL
36,label_X_YY_ccee,36,label_X_YY_ccee,36,label_X_YY_ccee,46,4P_SEMILEP_2PARTON_LL|nb0_nc2,28,4P_SEMILEP_2PARTON_LL|C,19,4P_SEMILEP_2PARTON_LL|HF,11,4P_SEMILEP_2PARTON_LL,2,4P_VIS,0,RESONANT_ALL
