rung,group_id,group_name,n_native,raw_stored_train,selected_train,unique_sampled_train,repeat_factor,effective_share_exact,share_provenance,test_selected
L188,0,label_X_bb,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,1,label_X_cc,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,2,label_X_ss,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,3,label_X_qq,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,4,label_X_bc,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,5,label_X_cs,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,6,label_X_bq,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,7,label_X_cq,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,8,label_X_sq,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,9,label_X_gg,1,,,,,0.02887253,EXACT_ALGEBRA_ON_CLASS_WEIGHTS,
L188,10,label_X_ee,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,11,label_X_mm,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,12,label_X_tauhtaue,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,13,label_X_tauhtaum,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,14,label_X_tauhtauh,1,,,,,0.00866176,EXACT_ALGEBRA_ON_CLASS_WEIGHTS,
L188,15,label_X_YY_bbbb,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,16,label_X_YY_bbcc,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,17,label_X_YY_bbss,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,18,label_X_YY_bbqq,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,19,label_X_YY_bbgg,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,20,label_X_YY_bbee,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,21,label_X_YY_bbmm,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,22,label_X_YY_bbtauhtaue,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,23,label_X_YY_bbtauhtaum,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,24,label_X_YY_bbtauhtauh,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,25,label_X_YY_bbb,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,26,label_X_YY_bbc,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,27,label_X_YY_bbs,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,28,label_X_YY_bbq,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,29,label_X_YY_bbg,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,30,label_X_YY_bbe,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,31,label_X_YY_bbm,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,32,label_X_YY_cccc,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,33,label_X_YY_ccss,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,34,label_X_YY_ccqq,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,35,label_X_YY_ccgg,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,36,label_X_YY_ccee,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
L188,37,label_X_YY_ccmm,1,,,,,,MEASURED_REQUIRED_cuts_inside_reweight_group,
