old_commit,new_commit,subject
747730a5f1a6c840aea74e1dccb5a40f834c36a3,c281d9eeeafba067dc0aa316e2698f1c9a58b008,add option to skip the expensive validation metric
beaf6542ff195406929d6089e5647fa2cc421195,b356b36ac86eb6cedefe8b3e5df57eac25a30ba9,make the learning rate verdict robust to doubled log lines and near ties
f89b71a467ab86722cd542dadc850adc1ed060dd,0b7f78947246dc4c964b3f018002bb61ba6eed1b,resume the two sweep points lost to a node failure
b01c0a6b780fed715e58f64e9a9adbd1f792a5ce,e64ffc77cf7c559a8b844663739eda67b2f73555,refuse a final verdict while any sweep point is unfinished
997d65b8647ee1742ec70cecf6b6e29cd95eab1c,732118103a2db2f7b4303098fb95edf3b17c62b0,judge the sweep on preference reversals not just the best rate
0ab89035a45537af8af4d6b201fdb971328ff981,05b32e4d4029ee2d5a8070ee33fd7ba86550e3e6,add per arm learning rate sweeps
1948520842eaedd2859cd4c60f9e461dd86129bb,6ede4bfd1299cf37b0963d1ab85788985dc14f9e,record sweep results and launch the per arm points
65df3450cc875bdd6b71741bcd655d7717f3700a,3a18be7baa9037d6a211a44ab743c635174aa5a4,record the final sweep numbers and the three diverged runs
c6dbcb8e1ca248f9cf7d784c1ac43c8e1491ad1e,7e5bd215cec074c5d5d22215b285074ce7f4089e,record the middle arm result and relaunch the two that died at startup
10b6255000303bdabeec1680c6ea983f3a8a63e6,d7e761150b602c4eed5f4a84f811736c259b8070,let a retried job pick up where it left off
b5f46fbf779c67f1ceef8de2fc2be835536107c1,ffcb59a102ad2fdf46663c6f018a08f925169240,replace the guessed noise threshold with a measured one
1df48a1790ea4a9c45dd218b8125ea4809f9418b,d4265587a1499d22d6d2435b0a4aa969c0f0be72,confirm the noise floor with a second measurement
7e4f74f69389eb808fa1d2287e1020ab3281bbfc,96fa57ffd04e544125aaf3e896e25131c7b32533,set each arm to its own learning rate and start the first two runs
4fcd165188bcf9a21003933c26003b83f095b3db,64ebbd1d9223841d5d49e4f7208d7204efcfaf55,add the widest vocabulary arm
714dce77fd4c187b18f6696983962208769383f9,b6e8e26976975941947254f080d6a0736287b5a8,queue the rate search for the widest arm
ce221cde631b61b47c71013581202edb87beecf6,abb9b78351a9ac849c2a9ef82fadd87d20728e0c,read the per arm rate sweeps and say which arms are ready
f158046cfbbc08e316b4bb7f346d20ff4fbc7b16,7178f7b614e06b21843514da4d82b590c4615d78,a rate that blew up does not bound anything
1de2504cc9bb4ca042d8d70e40bdd7dd30dd7acf,0ab56b5cb4037cbec25c19b12281082e721b1e8f,pull the frozen representation out of a trained arm
1a4d9244d1800063e7d30bf85abace58da20056b,be7eb509f09ef583ea33bac53ddf95e22dae0039,fit the frozen probes and the paired contrast
3ceb5458025c45fbb12c68a9c3ef4dd900ed8f7b,0e6cbe3782441de108b59d5ba1ebb83a70165f80,queue the remaining seeds for the one arm whose rate is settled
d63cbb61d13f7319b899751702f488882bde1f53,4beea22a57631aacd19c177bf130116fe175ec72,fix the dates on the new rows and one stale status
cdf1c4fa0da035dba0055296f1e7434dd128efd7,1582ef6baab74381e84cd774015ffab4e307a2cc,one line of status per training pod
e06836a4da7d3ec3842235702b920c6acf08b2ce,4346a41314e0c5da21a49a891984674c963ca3c1,"let a queued job outlast the queue, and stop reading a timeout as idle"
dab6ef88534db77389ad1dd02ba875f5dec51647,0e9640051ee2adaf33d78472e33cfc13dcdf69ff,run the feature step on cpu so it can run at all
679f0d94f0fbfbbdbd54bd34498b47b9b96a3893,ca6f382115515bcda38e51c772cfb52d2eabcde9,record the middle arm result and file the memory call
