jet_label,class_name,block,topology_code,tokens,n_objects,n_visible_objects,has_b,has_c,has_s,has_g,has_lepton,has_tau,has_nu,leading_heavy_flavour,reweight_group_name,reweight_group_n_classes,reweight_group_weight,reweight_group_stream_share,class_stream_share_nominal,class_stream_share_upper_bound,class_weight_share_frac,class_weight_share_pct,log_class_weight_share,log_class_weight_share_upper_bound,R161_group_id,R161_group_name,L187_group_id,L187_group_name,R45_group_id,R45_group_name,R29_group_id,R29_group_name,R15_group_id,R15_group_name,R9_group_id,R9_group_name,Q27_group_id,Q27_group_name,Q1_group_id,Q1_group_name,L43res_group_id,L43res_group_name,rand42_d1_group_id,rand42_d1_group_name,rand42_d2_group_id,rand42_d2_group_name,rand42_d3_group_id,rand42_d3_group_name,bs_relevant,physics_rationale
0,label_X_bb,res2p,QQ,b+b,2,2,1,0,0,0,0,0,0,b,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,0,label_X_bb,0,label_X_bb,0,2P_QQ_b,0,2P_QQ,0,2P_QQ_b,0,2P_QQ_b,,n/a (rung partitions the other block),,n/a (rung partitions the other block),0,label_X_bb,0,rand_res2p_04,0,rand_res2p_02,0,rand_res2p_02,0,"two-prong X->b quark + b quark; topology QQ, 2 visible object(s), leading heavy flavour b. Lands in 2P_QQ_b at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
1,label_X_cc,res2p,QQ,c+c,2,2,0,1,0,0,0,0,0,c,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,1,label_X_cc,1,label_X_cc,1,2P_QQ_c,0,2P_QQ,1,2P_QQ_c,1,2P_QQ_c,,n/a (rung partitions the other block),,n/a (rung partitions the other block),1,label_X_cc,1,rand_res2p_01,0,rand_res2p_02,1,rand_res2p_01,0,"two-prong X->c quark + c quark; topology QQ, 2 visible object(s), leading heavy flavour c. Lands in 2P_QQ_c at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
2,label_X_ss,res2p,QQ,s+s,2,2,0,0,1,0,0,0,0,s,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,2,label_X_ss,2,label_X_ss,2,2P_QQ_light,0,2P_QQ,2,2P_QQ_light_gluon,2,2P_QQ_light_gluon,,n/a (rung partitions the other block),,n/a (rung partitions the other block),2,label_X_ss,2,rand_res2p_02,1,rand_res2p_04,2,rand_res2p_04,0,"two-prong X->s quark + s quark; topology QQ, 2 visible object(s), leading heavy flavour s. Lands in 2P_QQ_light_gluon at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
3,label_X_qq,res2p,QQ,q+q,2,2,0,0,0,0,0,0,0,light,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,3,label_X_qq,3,2P_qq_plus_cs,2,2P_QQ_light,0,2P_QQ,2,2P_QQ_light_gluon,2,2P_QQ_light_gluon,,n/a (rung partitions the other block),,n/a (rung partitions the other block),3,label_X_qq,3,rand_res2p_00,2,rand_res2p_01,3,rand_res2p_00,0,"two-prong X->light quark (u/d) + light quark (u/d); topology QQ, 2 visible object(s), leading heavy flavour light. Lands in 2P_QQ_light_gluon at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
4,label_X_bc,res2p,QQ,b+c,2,2,1,1,0,0,0,0,0,b,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,4,label_X_bc,4,label_X_bc,0,2P_QQ_b,0,2P_QQ,0,2P_QQ_b,0,2P_QQ_b,,n/a (rung partitions the other block),,n/a (rung partitions the other block),4,label_X_bc,2,rand_res2p_02,3,rand_res2p_00,2,rand_res2p_04,0,"two-prong X->b quark + c quark; topology QQ, 2 visible object(s), leading heavy flavour b. Lands in 2P_QQ_b at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
5,label_X_cs,res2p,QQ,c+s,2,2,0,1,1,0,0,0,0,c,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,5,label_X_cs,3,2P_qq_plus_cs,1,2P_QQ_c,0,2P_QQ,1,2P_QQ_c,1,2P_QQ_c,,n/a (rung partitions the other block),,n/a (rung partitions the other block),5,label_X_cs,3,rand_res2p_00,3,rand_res2p_00,3,rand_res2p_00,0,"two-prong X->c quark + s quark; topology QQ, 2 visible object(s), leading heavy flavour c. Lands in 2P_QQ_c at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
6,label_X_bq,res2p,QQ,b+q,2,2,1,0,0,0,0,0,0,b,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,6,label_X_bq,5,label_X_bq,0,2P_QQ_b,0,2P_QQ,0,2P_QQ_b,0,2P_QQ_b,,n/a (rung partitions the other block),,n/a (rung partitions the other block),6,label_X_bq,1,rand_res2p_01,4,rand_res2p_03,0,rand_res2p_02,0,"two-prong X->b quark + light quark (u/d); topology QQ, 2 visible object(s), leading heavy flavour b. Lands in 2P_QQ_b at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
7,label_X_cq,res2p,QQ,c+q,2,2,0,1,0,0,0,0,0,c,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,7,label_X_cq,6,label_X_cq,1,2P_QQ_c,0,2P_QQ,1,2P_QQ_c,1,2P_QQ_c,,n/a (rung partitions the other block),,n/a (rung partitions the other block),7,label_X_cq,4,rand_res2p_03,2,rand_res2p_01,0,rand_res2p_02,0,"two-prong X->c quark + light quark (u/d); topology QQ, 2 visible object(s), leading heavy flavour c. Lands in 2P_QQ_c at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
8,label_X_sq,res2p,QQ,s+q,2,2,0,0,1,0,0,0,0,s,label_X_QQ,9,0.4,0.230980222318464,0.025664469146495998,0.230980222318464,0.025664469146495998,2.5664469146495996,-3.662647767130952,-1.4654231897947323,8,label_X_sq,7,label_X_sq,2,2P_QQ_light,0,2P_QQ,2,2P_QQ_light_gluon,2,2P_QQ_light_gluon,,n/a (rung partitions the other block),,n/a (rung partitions the other block),8,label_X_sq,2,rand_res2p_02,4,rand_res2p_03,0,rand_res2p_02,0,"two-prong X->s quark + light quark (u/d); topology QQ, 2 visible object(s), leading heavy flavour s. Lands in 2P_QQ_light_gluon at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
9,label_X_gg,res2p,gg,g+g,2,2,0,0,0,1,0,0,0,light,label_X_gg,1,0.05,0.028872527789808,0.028872527789808,0.028872527789808,0.028872527789808,2.8872527789807996,-3.5448647314745685,-3.5448647314745685,9,label_X_gg,8,label_X_gg,3,2P_gg,1,2P_gg,2,2P_QQ_light_gluon,2,2P_QQ_light_gluon,,n/a (rung partitions the other block),,n/a (rung partitions the other block),9,label_X_gg,4,rand_res2p_03,3,rand_res2p_00,4,rand_res2p_03,0,"two-prong X->gluon + gluon; topology gg, 2 visible object(s), leading heavy flavour light. Lands in 2P_QQ_light_gluon at the coarsest resonant rung (R=9) because prong count and hadronic-vs-leptonic character survive every contraction applied above it."
