group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,label_X_bb,1,0,label_X_bb,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
1,label_X_cc,1,1,label_X_cc,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
2,label_X_ss,1,2,label_X_ss,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
3,label_X_qq,1,3,label_X_qq,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
4,label_X_bc,1,4,label_X_bc,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
5,label_X_cs,1,5,label_X_cs,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
6,label_X_bq,1,6,label_X_bq,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
7,label_X_cq,1,7,label_X_cq,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
8,label_X_sq,1,8,label_X_sq,two-prong identity; all 3/4-prong contracted to one node,0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
9,label_X_gg,1,9,label_X_gg,two-prong identity; all 3/4-prong contracted to one node,0.028872527789808,0.028872527789808,0.028872527789808,label_X_gg,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
10,label_X_ee,1,10,label_X_ee,two-prong identity; all 3/4-prong contracted to one node,0.023098022231846396,0,0.04619604446369279,label_X_ll,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
11,label_X_mm,1,11,label_X_mm,two-prong identity; all 3/4-prong contracted to one node,0.023098022231846396,0,0.04619604446369279,label_X_ll,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
12,label_X_tauhtaue,1,12,label_X_tauhtaue,two-prong identity; all 3/4-prong contracted to one node,0.0028872527789807994,0,0.005774505557961599,label_X_tauhtaul,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
13,label_X_tauhtaum,1,13,label_X_tauhtaum,two-prong identity; all 3/4-prong contracted to one node,0.0028872527789807994,0,0.005774505557961599,label_X_tauhtaul,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
14,label_X_tauhtauh,1,14,label_X_tauhtauh,two-prong identity; all 3/4-prong contracted to one node,0.008661758336942398,0.008661758336942398,0.008661758336942398,label_X_tauhtauh,1,0,"Sophon Appendix B.2 two-prong class, kept verbatim."
15,other_resonant,146,15-160,label_X_YY_bbbb label_X_YY_bbcc label_X_YY_bbss label_X_YY_bbqq label_X_YY_bbgg label_X_YY_bbee label_X_YY_bbmm label_X_YY_bbtauhtaue label_X_YY_bbtauhtaum label_X_YY_bbtauhtauh label_X_YY_bbb label_X_YY_bbc label_X_YY_bbs label_X_YY_bbq label_X_YY_bbg label_X_YY_bbe label_X_YY_bbm label_X_YY_cccc label_X_YY_ccss label_X_YY_ccqq label_X_YY_ccgg label_X_YY_ccee label_X_YY_ccmm label_X_YY_cctauhtaue label_X_YY_cctauhtaum label_X_YY_cctauhtauh label_X_YY_ccb label_X_YY_ccc label_X_YY_ccs label_X_YY_ccq label_X_YY_ccg label_X_YY_cce label_X_YY_ccm label_X_YY_ssss label_X_YY_ssqq label_X_YY_ssgg label_X_YY_ssee label_X_YY_ssmm label_X_YY_sstauhtaue label_X_YY_sstauhtaum label_X_YY_sstauhtauh label_X_YY_ssb label_X_YY_ssc label_X_YY_sss label_X_YY_ssq label_X_YY_ssg label_X_YY_sse label_X_YY_ssm label_X_YY_qqqq label_X_YY_qqgg label_X_YY_qqee label_X_YY_qqmm label_X_YY_qqtauhtaue label_X_YY_qqtauhtaum label_X_YY_qqtauhtauh label_X_YY_qqb label_X_YY_qqc label_X_YY_qqs label_X_YY_qqq label_X_YY_qqg label_X_YY_qqe label_X_YY_qqm label_X_YY_gggg label_X_YY_ggee label_X_YY_ggmm label_X_YY_ggtauhtaue label_X_YY_ggtauhtaum label_X_YY_ggtauhtauh label_X_YY_ggb label_X_YY_ggc label_X_YY_ggs label_X_YY_ggq label_X_YY_ggg label_X_YY_gge label_X_YY_ggm label_X_YY_bee label_X_YY_cee label_X_YY_see label_X_YY_qee label_X_YY_gee label_X_YY_bmm label_X_YY_cmm label_X_YY_smm label_X_YY_qmm label_X_YY_gmm label_X_YY_btauhtaue label_X_YY_ctauhtaue label_X_YY_stauhtaue label_X_YY_qtauhtaue label_X_YY_gtauhtaue label_X_YY_btauhtaum label_X_YY_ctauhtaum label_X_YY_stauhtaum label_X_YY_qtauhtaum label_X_YY_gtauhtaum label_X_YY_btauhtauh label_X_YY_ctauhtauh label_X_YY_stauhtauh label_X_YY_qtauhtauh label_X_YY_gtauhtauh label_X_YY_qqqb label_X_YY_qqqc label_X_YY_qqqs label_X_YY_bbcq label_X_YY_ccbs label_X_YY_ccbq label_X_YY_ccsq label_X_YY_sscq label_X_YY_qqbc label_X_YY_qqbs label_X_YY_qqcs label_X_YY_bcsq label_X_YY_bcs label_X_YY_bcq label_X_YY_bsq label_X_YY_csq label_X_YY_bcev label_X_YY_csev label_X_YY_bqev label_X_YY_cqev label_X_YY_sqev label_X_YY_qqev label_X_YY_bcmv label_X_YY_csmv label_X_YY_bqmv label_X_YY_cqmv label_X_YY_sqmv label_X_YY_qqmv label_X_YY_bctauev label_X_YY_cstauev label_X_YY_bqtauev label_X_YY_cqtauev label_X_YY_sqtauev label_X_YY_qqtauev label_X_YY_bctaumv label_X_YY_cstaumv label_X_YY_bqtaumv label_X_YY_cqtaumv label_X_YY_sqtaumv label_X_YY_qqtaumv label_X_YY_bctauhv label_X_YY_cstauhv label_X_YY_bqtauhv label_X_YY_cqtauhv label_X_YY_sqtauhv label_X_YY_qqtauhv,two-prong identity; all 3/4-prong contracted to one node,0.5351523025840912,0.5351523025840912,0.5351523025840912,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQg label_X_YY_QQgg label_X_YY_QQl label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtauh label_X_YY_QQtauhtaul label_X_YY_QQtauhv label_X_YY_QQtaulv label_X_YY_Qgg label_X_YY_Qll label_X_YY_Qtauhtauh label_X_YY_Qtauhtaul label_X_YY_ggg label_X_YY_gggg label_X_YY_ggl label_X_YY_ggll label_X_YY_ggtauhtauh label_X_YY_ggtauhtaul label_X_YY_gll label_X_YY_gtauhtauh label_X_YY_gtauhtaul,24,1,"All 146 3/4-prong resonant classes absorbed into a single 'other resonant' class: Sophon's B.2 object has no 3/4-prong vocabulary, so the replication arm must dump them somewhere."
