group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,label_QCD_bbccss,1,161,label_QCD_bbccss,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,1,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
1,label_QCD_bbccs,1,162,label_QCD_bbccs,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,1,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
2,label_QCD_bbcc,1,163,label_QCD_bbcc,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,0,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
3,label_QCD_bbcss,1,164,label_QCD_bbcss,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,1,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
4,label_QCD_bbcs,1,165,label_QCD_bbcs,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,1,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
5,label_QCD_bbc,1,166,label_QCD_bbc,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,0,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
6,label_QCD_bbss,1,167,label_QCD_bbss,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,1,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
7,label_QCD_bbs,1,168,label_QCD_bbs,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,1,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
8,label_QCD_bb,1,169,label_QCD_bb,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,0,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
9,label_QCD_bccss,1,170,label_QCD_bccss,none (identity on indices 161-187),0.005346764405519999,0,0.14436263894903997,label_QCD,1,1,"Native JetClass-II QCD class, defined by the heavy-flavour partons (pT > 10 GeV) matched within dR < R0 of the jet axis; identity partition, indices 161-187 left unmerged."
