group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,label_X_bb,1,0,label_X_bb,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
1,label_X_cc,1,1,label_X_cc,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
2,label_X_ss,1,2,label_X_ss,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
3,label_X_qq,1,3,label_X_qq,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
4,label_X_bc,1,4,label_X_bc,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
5,label_X_cs,1,5,label_X_cs,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
6,label_X_bq,1,6,label_X_bq,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
7,label_X_cq,1,7,label_X_cq,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
8,label_X_sq,1,8,label_X_sq,none (identity),0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
9,label_X_gg,1,9,label_X_gg,none (identity),0.028872527789808,0.028872527789808,0.028872527789808,label_X_gg,1,0,"Native JetClass-II class; identity partition, no contraction applied."
10,label_X_ee,1,10,label_X_ee,none (identity),0.023098022231846396,0,0.04619604446369279,label_X_ll,1,0,"Native JetClass-II class; identity partition, no contraction applied."
11,label_X_mm,1,11,label_X_mm,none (identity),0.023098022231846396,0,0.04619604446369279,label_X_ll,1,0,"Native JetClass-II class; identity partition, no contraction applied."
12,label_X_tauhtaue,1,12,label_X_tauhtaue,none (identity),0.0028872527789807994,0,0.005774505557961599,label_X_tauhtaul,1,0,"Native JetClass-II class; identity partition, no contraction applied."
13,label_X_tauhtaum,1,13,label_X_tauhtaum,none (identity),0.0028872527789807994,0,0.005774505557961599,label_X_tauhtaul,1,0,"Native JetClass-II class; identity partition, no contraction applied."
14,label_X_tauhtauh,1,14,label_X_tauhtauh,none (identity),0.008661758336942398,0.008661758336942398,0.008661758336942398,label_X_tauhtauh,1,0,"Native JetClass-II class; identity partition, no contraction applied."
15,label_X_YY_bbbb,1,15,label_X_YY_bbbb,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
16,label_X_YY_bbcc,1,16,label_X_YY_bbcc,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
17,label_X_YY_bbss,1,17,label_X_YY_bbss,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,1,"Native JetClass-II class; identity partition, no contraction applied."
18,label_X_YY_bbqq,1,18,label_X_YY_bbqq,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
19,label_X_YY_bbgg,1,19,label_X_YY_bbgg,none (identity),0.008661758336942398,0,0.03464703334776959,label_X_YY_QQgg,1,0,"Native JetClass-II class; identity partition, no contraction applied."
20,label_X_YY_bbee,1,20,label_X_YY_bbee,none (identity),0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class; identity partition, no contraction applied."
21,label_X_YY_bbmm,1,21,label_X_YY_bbmm,none (identity),0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class; identity partition, no contraction applied."
22,label_X_YY_bbtauhtaue,1,22,label_X_YY_bbtauhtaue,none (identity),0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class; identity partition, no contraction applied."
23,label_X_YY_bbtauhtaum,1,23,label_X_YY_bbtauhtaum,none (identity),0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class; identity partition, no contraction applied."
24,label_X_YY_bbtauhtauh,1,24,label_X_YY_bbtauhtauh,none (identity),0.005774505557961599,0,0.023098022231846396,label_X_YY_QQtauhtauh,1,0,"Native JetClass-II class; identity partition, no contraction applied."
25,label_X_YY_bbb,1,25,label_X_YY_bbb,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
26,label_X_YY_bbc,1,26,label_X_YY_bbc,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
27,label_X_YY_bbs,1,27,label_X_YY_bbs,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,1,"Native JetClass-II class; identity partition, no contraction applied."
28,label_X_YY_bbq,1,28,label_X_YY_bbq,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
29,label_X_YY_bbg,1,29,label_X_YY_bbg,none (identity),0.0007218131947451999,0,0.0028872527789807994,label_X_YY_QQg,1,0,"Native JetClass-II class; identity partition, no contraction applied."
30,label_X_YY_bbe,1,30,label_X_YY_bbe,none (identity),0.0007218131947451999,0,0.005774505557961599,label_X_YY_QQl,1,0,"Native JetClass-II class; identity partition, no contraction applied."
31,label_X_YY_bbm,1,31,label_X_YY_bbm,none (identity),0.0007218131947451999,0,0.005774505557961599,label_X_YY_QQl,1,0,"Native JetClass-II class; identity partition, no contraction applied."
32,label_X_YY_cccc,1,32,label_X_YY_cccc,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
33,label_X_YY_ccss,1,33,label_X_YY_ccss,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
34,label_X_YY_ccqq,1,34,label_X_YY_ccqq,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
35,label_X_YY_ccgg,1,35,label_X_YY_ccgg,none (identity),0.008661758336942398,0,0.03464703334776959,label_X_YY_QQgg,1,0,"Native JetClass-II class; identity partition, no contraction applied."
36,label_X_YY_ccee,1,36,label_X_YY_ccee,none (identity),0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class; identity partition, no contraction applied."
37,label_X_YY_ccmm,1,37,label_X_YY_ccmm,none (identity),0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class; identity partition, no contraction applied."
38,label_X_YY_cctauhtaue,1,38,label_X_YY_cctauhtaue,none (identity),0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class; identity partition, no contraction applied."
39,label_X_YY_cctauhtaum,1,39,label_X_YY_cctauhtaum,none (identity),0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class; identity partition, no contraction applied."
40,label_X_YY_cctauhtauh,1,40,label_X_YY_cctauhtauh,none (identity),0.005774505557961599,0,0.023098022231846396,label_X_YY_QQtauhtauh,1,0,"Native JetClass-II class; identity partition, no contraction applied."
41,label_X_YY_ccb,1,41,label_X_YY_ccb,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
42,label_X_YY_ccc,1,42,label_X_YY_ccc,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
43,label_X_YY_ccs,1,43,label_X_YY_ccs,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
44,label_X_YY_ccq,1,44,label_X_YY_ccq,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
45,label_X_YY_ccg,1,45,label_X_YY_ccg,none (identity),0.0007218131947451999,0,0.0028872527789807994,label_X_YY_QQg,1,0,"Native JetClass-II class; identity partition, no contraction applied."
46,label_X_YY_cce,1,46,label_X_YY_cce,none (identity),0.0007218131947451999,0,0.005774505557961599,label_X_YY_QQl,1,0,"Native JetClass-II class; identity partition, no contraction applied."
47,label_X_YY_ccm,1,47,label_X_YY_ccm,none (identity),0.0007218131947451999,0,0.005774505557961599,label_X_YY_QQl,1,0,"Native JetClass-II class; identity partition, no contraction applied."
48,label_X_YY_ssss,1,48,label_X_YY_ssss,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
49,label_X_YY_ssqq,1,49,label_X_YY_ssqq,none (identity),0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
50,label_X_YY_ssgg,1,50,label_X_YY_ssgg,none (identity),0.008661758336942398,0,0.03464703334776959,label_X_YY_QQgg,1,0,"Native JetClass-II class; identity partition, no contraction applied."
51,label_X_YY_ssee,1,51,label_X_YY_ssee,none (identity),0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class; identity partition, no contraction applied."
52,label_X_YY_ssmm,1,52,label_X_YY_ssmm,none (identity),0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class; identity partition, no contraction applied."
53,label_X_YY_sstauhtaue,1,53,label_X_YY_sstauhtaue,none (identity),0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class; identity partition, no contraction applied."
54,label_X_YY_sstauhtaum,1,54,label_X_YY_sstauhtaum,none (identity),0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class; identity partition, no contraction applied."
55,label_X_YY_sstauhtauh,1,55,label_X_YY_sstauhtauh,none (identity),0.005774505557961599,0,0.023098022231846396,label_X_YY_QQtauhtauh,1,0,"Native JetClass-II class; identity partition, no contraction applied."
56,label_X_YY_ssb,1,56,label_X_YY_ssb,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,1,"Native JetClass-II class; identity partition, no contraction applied."
57,label_X_YY_ssc,1,57,label_X_YY_ssc,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
58,label_X_YY_sss,1,58,label_X_YY_sss,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
59,label_X_YY_ssq,1,59,label_X_YY_ssq,none (identity),0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class; identity partition, no contraction applied."
