group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,rand_res2p_02,4,"0,6-8",label_X_bb label_X_bq label_X_cq label_X_sq,none physical: random control,0.10265787658598399,0,0.230980222318464,label_X_QQ,1,0,"RANDOM control group, draw 3 (seed 44), stratum res2p, size 4 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
1,rand_res2p_01,3,"1,10,12",label_X_cc label_X_ee label_X_tauhtaue,none physical: random control,0.051649744157323194,0,0.2829507723401184,label_X_QQ label_X_ll label_X_tauhtaul,3,0,"RANDOM control group, draw 3 (seed 44), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
2,rand_res2p_04,3,"2,4,11",label_X_ss label_X_bc label_X_mm,none physical: random control,0.0744269605248384,0,0.2771762667821568,label_X_QQ label_X_ll,2,0,"RANDOM control group, draw 3 (seed 44), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
3,rand_res2p_00,3,"3,5,13",label_X_qq label_X_cs label_X_tauhtaum,none physical: random control,0.05421619107197279,0,0.2367547278764256,label_X_QQ label_X_tauhtaul,2,0,"RANDOM control group, draw 3 (seed 44), stratum res2p, size 3 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
4,rand_res2p_03,2,"9,14",label_X_gg label_X_tauhtauh,none physical: random control,0.037534286126750395,0.037534286126750395,0.037534286126750395,label_X_gg label_X_tauhtauh,2,0,"RANDOM control group, draw 3 (seed 44), stratum res2p, size 2 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
5,rand_res34p_09,18,"15,25,29,44,55,64,83-84,106,114,116,118,128,138,143,150,156,160",label_X_YY_bbbb label_X_YY_bbb label_X_YY_bbg label_X_YY_ccq label_X_YY_sstauhtauh label_X_YY_qqgg label_X_YY_ggb label_X_YY_ggc label_X_YY_ctauhtaum label_X_YY_gtauhtauh label_X_YY_qqqc label_X_YY_bbcq label_X_YY_bcq label_X_YY_csmv label_X_YY_bctauev label_X_YY_cstaumv label_X_YY_cstauhv label_X_YY_qqtauhv,none physical: random control,0.06152429448228495,0.0003464703334776959,0.3622924787065107,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQg label_X_YY_QQgg label_X_YY_QQlv label_X_YY_QQtauhtauh label_X_YY_QQtauhv label_X_YY_QQtaulv label_X_YY_Qgg label_X_YY_Qtauhtaul label_X_YY_gtauhtauh,11,0,"RANDOM control group, draw 3 (seed 44), stratum res34p, size 18 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
6,rand_res34p_04,20,"16,23,27,30-31,33,51,61,77,81,86,92,105,108-109,112,134-135,139,157",label_X_YY_bbcc label_X_YY_bbtauhtaum label_X_YY_bbs label_X_YY_bbe label_X_YY_bbm label_X_YY_ccss label_X_YY_ssee label_X_YY_sse label_X_YY_gggg label_X_YY_ggtauhtaum label_X_YY_ggq label_X_YY_see label_X_YY_btauhtaum label_X_YY_qtauhtaum label_X_YY_gtauhtaum label_X_YY_stauhtauh label_X_YY_cqev label_X_YY_sqev label_X_YY_bqmv label_X_YY_bqtauhv,none physical: random control,0.06074736100721375,0.004330879168471199,0.4325970838746932,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQl label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtaul label_X_YY_QQtauhv label_X_YY_Qgg label_X_YY_Qll label_X_YY_Qtauhtauh label_X_YY_Qtauhtaul label_X_YY_gggg label_X_YY_ggtauhtaul label_X_YY_gtauhtaul,14,1,"RANDOM control group, draw 3 (seed 44), stratum res34p, size 20 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
7,rand_res34p_08,12,"17,37,58,63,68,78,97,121-122,137,145,148",label_X_YY_bbss label_X_YY_ccmm label_X_YY_sss label_X_YY_qqqq label_X_YY_qqtauhtaum label_X_YY_ggee label_X_YY_smm label_X_YY_ccsq label_X_YY_sscq label_X_YY_bcmv label_X_YY_bqtauev label_X_YY_qqtauev,none physical: random control,0.06718549724179866,0,0.41403204850584663,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtaul label_X_YY_QQtaulv label_X_YY_Qll label_X_YY_ggll,8,1,"RANDOM control group, draw 3 (seed 44), stratum res34p, size 12 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
8,rand_res34p_07,15,"18-20,32,36,45,56,66,75,79,87,93,117,140,146",label_X_YY_bbqq label_X_YY_bbgg label_X_YY_bbee label_X_YY_cccc label_X_YY_ccee label_X_YY_ccg label_X_YY_ssb label_X_YY_qqmm label_X_YY_qqe label_X_YY_ggmm label_X_YY_ggg label_X_YY_qee label_X_YY_qqqs label_X_YY_cqmv label_X_YY_cqtauev,none physical: random control,0.08924673324846559,0.0008661758336942399,0.4351089937924065,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQg label_X_YY_QQgg label_X_YY_QQl label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtaulv label_X_YY_Qll label_X_YY_ggg label_X_YY_ggll,11,1,"RANDOM control group, draw 3 (seed 44), stratum res34p, size 15 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
9,rand_res34p_03,15,"21-22,34,46,59-60,65,76,99,102,126,130,133,144,147",label_X_YY_bbmm label_X_YY_bbtauhtaue label_X_YY_ccqq label_X_YY_cce label_X_YY_ssq label_X_YY_ssg label_X_YY_qqee label_X_YY_qqm label_X_YY_gmm label_X_YY_stauhtaue label_X_YY_bcsq label_X_YY_csq label_X_YY_bqev label_X_YY_cstauev label_X_YY_sqtauev,none physical: random control,0.05412592796741778,0,0.3954381406092103,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQg label_X_YY_QQl label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtaul label_X_YY_QQtaulv label_X_YY_Qtauhtaul label_X_YY_gll,10,1,"RANDOM control group, draw 3 (seed 44), stratum res34p, size 15 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
10,rand_res34p_06,20,"24,38,41,53,70,73,80,91,96,100-101,107,110,113,119,123,127,153,158-159",label_X_YY_bbtauhtauh label_X_YY_cctauhtaue label_X_YY_ccb label_X_YY_sstauhtaue label_X_YY_qqb label_X_YY_qqq label_X_YY_ggtauhtaue label_X_YY_cee label_X_YY_cmm label_X_YY_btauhtaue label_X_YY_ctauhtaue label_X_YY_stauhtaum label_X_YY_btauhtauh label_X_YY_qtauhtauh label_X_YY_ccbs label_X_YY_qqbc label_X_YY_bcs label_X_YY_sqtaumv label_X_YY_cqtauhv label_X_YY_sqtauhv,none physical: random control,0.05017039166021409,0,0.31251624079688173,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQtauhtauh label_X_YY_QQtauhtaul label_X_YY_QQtauhv label_X_YY_QQtaulv label_X_YY_Qll label_X_YY_Qtauhtauh label_X_YY_Qtauhtaul label_X_YY_ggtauhtaul,10,1,"RANDOM control group, draw 3 (seed 44), stratum res34p, size 20 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
11,rand_res34p_05,9,"26,42,48,67,90,124,141,151,155",label_X_YY_bbc label_X_YY_ccc label_X_YY_ssss label_X_YY_qqtauhtaue label_X_YY_bee label_X_YY_qqbs label_X_YY_sqmv label_X_YY_bqtaumv label_X_YY_bctauhv,none physical: random control,0.03282281454650445,0,0.32741446513642264,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQlv label_X_YY_QQtauhtaul label_X_YY_QQtauhv label_X_YY_QQtaulv label_X_YY_Qll,7,1,"RANDOM control group, draw 3 (seed 44), stratum res34p, size 9 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
12,rand_res34p_02,10,"28,39,52,82,98,111,115,131,142,154",label_X_YY_bbq label_X_YY_cctauhtaum label_X_YY_ssmm label_X_YY_ggtauhtauh label_X_YY_qmm label_X_YY_ctauhtauh label_X_YY_qqqb label_X_YY_bcev label_X_YY_qqmv label_X_YY_qqtaumv,none physical: random control,0.039687476759802436,0.005774505557961599,0.39809441316587263,label_X_YY_QQQ label_X_YY_QQQQ label_X_YY_QQll label_X_YY_QQlv label_X_YY_QQtauhtaul label_X_YY_QQtaulv label_X_YY_Qll label_X_YY_Qtauhtauh label_X_YY_ggtauhtauh,9,0,"RANDOM control group, draw 3 (seed 44), stratum res34p, size 10 copied from the R=15 block-size distribution. No physical meaning by construction: this is the count-versus-meaning control."
