vocabulary,resonant_rung,R,qcd_rung,Q,N_classes,entropy_nats,effective_class_count,min_group_stream_share,max_group_stream_share,max_over_min_ratio,n_groups_with_exact_share,n_groups_share_bounded_only,ln_R,R_linear,ln_N,entropy_x,group_size_vector
L188,R161,161,Q27,27,188,4.705701461629186,110.57582244606412,0.00012992637505413598,0.028872527789808,222.22222222222223,6,182,5.081404364984463,161,5.236441962829949,4.705701461629186,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
L162,R161,161,Q1,1,162,4.229905754107267,68.71075616212764,0.00012992637505413598,0.14436263894903997,1111.111111111111,7,155,5.081404364984463,161,5.087596335232384,4.229905754107267,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
L72,R45,45,Q27,27,72,3.4990730972226847,33.084771375455254,0.00025985275010827197,0.09239208892738558,355.55555555555554,14,58,3.8066624897703196,45,4.276666119016055,3.4990730972226847,"3,3,3,1,2,2,1,11,1,2,2,1,10,1,2,11,3,6,6,3,10,3,6,1,2,2,1,1,3,1,2,2,6,2,8,2,1,3,1,4,8,4,8,2,4"
L46,R45,45,Q1,1,46,3.0232773897007665,20.558559804223858,0.00025985275010827197,0.14436263894903997,555.5555555555555,15,31,3.8066624897703196,45,3.828641396489095,3.0232773897007665,"3,3,3,1,2,2,1,11,1,2,2,1,10,1,2,11,3,6,6,3,10,3,6,1,2,2,1,1,3,1,2,2,6,2,8,2,1,3,1,4,8,4,8,2,4"
L56,R29,29,Q27,27,56,2.935337685623031,18.8278599594409,0.00025985275010827197,0.230980222318464,888.8888888888889,29,27,3.367295829986474,29,4.02535169073515,2.935337685623031,"9,1,2,2,1,22,4,8,8,4,20,4,8,1,2,2,1,4,1,2,8,2,8,2,4,1,12,12,6"
L30,R29,29,Q1,1,30,2.4595419781011123,11.69945170752721,0.00025985275010827197,0.230980222318464,888.8888888888889,30,0,3.367295829986474,29,3.4011973816621555,2.4595419781011123,"9,1,2,2,1,22,4,8,8,4,20,4,8,1,2,2,1,4,1,2,8,2,8,2,4,1,12,12,6"
L42,R15,15,Q27,27,42,2.927712151430447,18.684833489233633,0.0030316154179298393,0.18478417785477116,60.952380952380956,12,30,2.70805020110221,15,3.7376696182833684,2.927712151430447,"3,3,4,2,3,22,5,10,15,20,9,20,15,12,18"
L16,R15,15,Q1,1,16,2.4519164439085284,11.610576429896469,0.0030316154179298393,0.18478417785477116,60.952380952380956,13,3,2.70805020110221,15,2.772588722239781,2.4519164439085284,"3,3,4,2,3,22,5,10,15,20,9,20,15,12,18"
L36,R9,9,Q27,27,36,2.597657516153891,13.43223635663755,0.005346764405519999,0.22376209037101197,41.85,6,30,2.1972245773362196,9,3.58351893845611,2.597657516153891,"3,3,4,5,27,25,29,35,30"
L10,R9,9,Q1,1,10,2.1218618086319725,8.346662919583286,0.018911505702324236,0.22376209037101197,11.832061068702291,7,3,2.1972245773362196,9,2.302585092994046,2.1218618086319725,"3,3,4,5,27,25,29,35,30"
