design,n_rungs,x_variable,rungs,x_values,x_mean,Sxx,se_factor_raw,Sxx_range_standardised,se_factor_range_standardised,power_rank_within_design,leverage_by_rung,max_leverage_fraction,max_leverage_rung,min_leverage_fraction,balance_rank_within_design
"core_ladder_Q27  (R=161,45,15,9)",4,ln_R,L188 | L72 | L42 | L36,5.0814 | 3.80666 | 2.70805 | 2.19722,3.448335408298303,4.908613013952274,0.4513574370586899,0.5900844042227184,1.3017959969693875,3,0.543 | 0.026 | 0.112 | 0.319,0.5433131945239051,L188,0.026157755144129952,2
"core_ladder_Q27  (R=161,45,15,9)",4,R_linear,L188 | L72 | L42 | L36,161 | 45 | 15 | 9,57.5,15027.0,0.008157627245625118,0.6504068559556787,1.2399593413350178,1,0.713 | 0.010 | 0.120 | 0.157,0.7128668396885606,L188,0.01039795035602582,5
"core_ladder_Q27  (R=161,45,15,9)",4,ln_N,L188 | L72 | L42 | L36,5.23644 | 4.27667 | 3.73767 | 3.58352,4.20857415964637,1.6735938523657439,0.7729919373456843,0.6125546111521128,1.2776961708940218,2,0.631 | 0.003 | 0.132 | 0.233,0.6312835215831973,L188,0.002770394336863021,4
"core_ladder_Q27  (R=161,45,15,9)",4,effective_entropy_nats,L188 | L72 | L42 | L36,4.7057 | 3.49907 | 2.92771 | 2.59766,3.4325360566090524,2.5772466788660187,0.6229052707172238,0.5799581666176413,1.3131116845400932,4,0.629 | 0.002 | 0.099 | 0.270,0.6289464496480772,L188,0.0017177935701397822,3
"core_ladder_Q27  (R=161,45,15,9)",4,equal_spacing_rank,L188 | L72 | L42 | L36,1 | 2 | 3 | 4,2.5,5.0,0.4472135954999579,0.5555555555555556,1.3416407864998738,5,0.450 | 0.050 | 0.050 | 0.450,0.45,L188,0.05,1
"extended_Q27     (R=161,45,29,15,9)",5,ln_R,L188 | L72 | L56 | L42 | L36,5.0814 | 3.80666 | 3.3673 | 2.70805 | 2.19722,3.4321274926359373,4.913866944554641,0.4511160757341638,0.5907160006636096,1.3010998675156695,5,0.554 | 0.029 | 0.001 | 0.107 | 0.310,0.5535587821884477,L188,0.0008553639179326092,2
"extended_Q27     (R=161,45,29,15,9)",5,R_linear,L188 | L72 | L56 | L42 | L36,161 | 45 | 29 | 15 | 9,51.8,15676.800000000001,0.00798677208082688,0.6785318559556787,1.2139893562856858,1,0.761 | 0.003 | 0.033 | 0.086 | 0.117,0.7606552357624005,L188,0.002949581547254539,5
"extended_Q27     (R=161,45,29,15,9)",5,ln_N,L188 | L72 | L56 | L42 | L36,5.23644 | 4.27667 | 4.02535 | 3.73767 | 3.58352,4.171929665864126,1.7004502308568827,0.7668634468680637,0.6223843547666337,1.2675662478789071,4,0.666 | 0.006 | 0.013 | 0.111 | 0.204,0.6664037616792954,L188,0.006451070675157873,3
"extended_Q27     (R=161,45,29,15,9)",5,effective_entropy_nats,L188 | L72 | L56 | L42 | L36,4.7057 | 3.49907 | 2.93534 | 2.92771 | 2.59766,3.333096382411848,2.7750116549549415,0.6002989645660359,0.6244612457734865,1.2654565977285206,3,0.679 | 0.010 | 0.057 | 0.059 | 0.195,0.678932176781732,L188,0.009927262759494675,4
"extended_Q27     (R=161,45,29,15,9)",5,equal_spacing_rank,L188 | L72 | L56 | L42 | L36,1 | 2 | 3 | 4 | 5,3.0,10.0,0.31622776601683794,0.625,1.2649110640673518,2,0.400 | 0.100 | 0.000 | 0.100 | 0.400,0.4,L188,0.0,1
