assertion,category,chain_edge,expectation,result,verdict,detail
sophon_yaml_present,provenance,,MUST_HOLD,PASS,OK,/Users/raunavmendiratta/dev/sophon/data/JetClassII/JetClassII_full.yaml
sophon_commit_pinned,provenance,,MUST_HOLD,PASS,OK,HEAD of /Users/raunavmendiratta/dev/sophon = 9dd6dd6a261aa6d5fd2e56f015068127b36854f9 (expected 9dd6dd6a261aa6d5fd2e56f015068127b36854f9)
sophon_no_tracked_modifications,provenance,,MUST_HOLD,PASS,OK,no tracked file in the pinned clone is modified
sophon_yaml_identical_across_clones,provenance,,MUST_HOLD,PASS,OK,"data/JetClassII/JetClassII_full.yaml is byte-identical across 3 clones (~/sophon, ~/dev/sophon, ~/e1_refs/sophon), sha256 df45b6b9dd0f3e0726ea18132fef7d8525dc9d7e750ecd82ee5fa60cb441e625"
class_name_list_line_129,provenance,,MUST_HOLD,PASS,OK,YAML line 129 is the class-name comment block
class_name_list_bracketed,provenance,,MUST_HOLD,PASS,OK,class-name list is a single closed [...] on one line
class_name_count_188,structure,,MUST_HOLD,PASS,OK,parsed 188 class names from line 129
class_names_unique,structure,,MUST_HOLD,PASS,OK,all 188 class names distinct
reweight_group_count_30,structure,,MUST_HOLD,PASS,OK,parsed 30 reweighting-group expressions from YAML lines 28-61
reweight_expr_safe[label_X_QQ],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_gg],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_ll],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_tauhtaul],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_tauhtauh],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQQQ],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQgg],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_gggg],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQQ],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQg],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_Qgg],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_ggg],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQll],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQl],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_Qll],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQtauhtaul],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQtauhtauh],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_Qtauhtaul],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_Qtauhtauh],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_ggll],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_ggl],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_gll],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_ggtauhtaul],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_ggtauhtauh],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_gtauhtaul],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_gtauhtauh],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQlv],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQtaulv],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
reweight_expr_safe[label_X_YY_QQtauhv],provenance,,MUST_HOLD,PASS,OK,expression contains only jet_label comparisons and & | ()
