status,jet_label,class_name,block,topology_code,tokens,reweight_group_name,R161_group_id,R161_group_name,R161_group_n_classes,R161_isolated,R45_group_id,R45_group_name,R45_group_n_classes,R45_isolated,R29_group_id,R29_group_name,R29_group_n_classes,R29_isolated,R15_group_id,R15_group_name,R15_group_n_classes,R15_isolated,R9_group_id,R9_group_name,R9_group_n_classes,R9_isolated,Q27_group_id,Q27_group_name,Q27_group_n_classes,Q27_isolated,Q1_group_id,Q1_group_name,Q1_group_n_classes,Q1_isolated,first_rung_where_bs_merges_away,note
present,17,label_X_YY_bbss,res34p,QQQQ,b+b+s+s,label_X_YY_QQQQ,17,label_X_YY_bbss,1,1,7,34P_QQQQ_b,11,0,5,34P_QQQQ,22,0,5,34P_4prong_had_quarks,22,0,4,34P_4prong_hadronic,27,0,,,,,,,,,R45,b+s content in a 4-prong resonance; separable from this rung upward only.
present,27,label_X_YY_bbs,res34p,QQQ,b+b+s,label_X_YY_QQQ,27,label_X_YY_bbs,1,1,12,34P_QQQ_b,10,0,10,34P_QQQ,20,0,9,34P_3prong_had_quarks,20,0,6,34P_3prong_hadronic,29,0,,,,,,,,,R45,b+s content in a 3-prong resonance; separable from this rung upward only.
present,56,label_X_YY_ssb,res34p,QQQ,s+s+b,label_X_YY_QQQ,56,label_X_YY_ssb,1,1,12,34P_QQQ_b,10,0,10,34P_QQQ,20,0,9,34P_3prong_had_quarks,20,0,6,34P_3prong_hadronic,29,0,,,,,,,,,R45,b+s content in a 3-prong resonance; separable from this rung upward only.
present,119,label_X_YY_ccbs,res34p,QQQQ,c+c+b+s,label_X_YY_QQQQ,119,label_X_YY_ccbs,1,1,7,34P_QQQQ_b,11,0,5,34P_QQQQ,22,0,5,34P_4prong_had_quarks,22,0,4,34P_4prong_hadronic,27,0,,,,,,,,,R45,b+s content in a 4-prong resonance; separable from this rung upward only.
present,124,label_X_YY_qqbs,res34p,QQQQ,q+q+b+s,label_X_YY_QQQQ,124,label_X_YY_qqbs,1,1,7,34P_QQQQ_b,11,0,5,34P_QQQQ,22,0,5,34P_4prong_had_quarks,22,0,4,34P_4prong_hadronic,27,0,,,,,,,,,R45,b+s content in a 4-prong resonance; separable from this rung upward only.
present,126,label_X_YY_bcsq,res34p,QQQQ,b+c+s+q,label_X_YY_QQQQ,126,label_X_YY_bcsq,1,1,7,34P_QQQQ_b,11,0,5,34P_QQQQ,22,0,5,34P_4prong_had_quarks,22,0,4,34P_4prong_hadronic,27,0,,,,,,,,,R45,b+s content in a 4-prong resonance; separable from this rung upward only.
present,127,label_X_YY_bcs,res34p,QQQ,b+c+s,label_X_YY_QQQ,127,label_X_YY_bcs,1,1,12,34P_QQQ_b,10,0,10,34P_QQQ,20,0,9,34P_3prong_had_quarks,20,0,6,34P_3prong_hadronic,29,0,,,,,,,,,R45,b+s content in a 3-prong resonance; separable from this rung upward only.
present,129,label_X_YY_bsq,res34p,QQQ,b+s+q,label_X_YY_QQQ,129,label_X_YY_bsq,1,1,12,34P_QQQ_b,10,0,10,34P_QQQ,20,0,9,34P_3prong_had_quarks,20,0,6,34P_3prong_hadronic,29,0,,,,,,,,,R45,b+s content in a 3-prong resonance; separable from this rung upward only.
present,161,label_QCD_bbccss,qcd,QCD,b+b+c+c+s+s,label_QCD,,,,,,,,,,,,,,,,,,,,,0,label_QCD_bbccss,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
present,162,label_QCD_bbccs,qcd,QCD,b+b+c+c+s,label_QCD,,,,,,,,,,,,,,,,,,,,,1,label_QCD_bbccs,1,1,0,QCD_all,27,0,Q1,b+s content in a QCD jet; separable from this rung upward only.
